#,Category,Subcategory,Difficulty,Question,Answer,Verified
27,Word Hunt,Fun Words,Easy,Look up curmudgeon. A curmudgeon is a bad-tempered what?,person,y
28,Word Hunt,Actions,Easy,Look up pounce. What simple action does it start with?,jump,y
29,Word Hunt,Actions,Easy,Look up snore. What is the last word in the definition?,sleeping,y
30,Word Hunt,Actions,Hard,Look up hiccup. A hiccup is a spasm of what?,diaphragm,y
31,Word Hunt,Interesting Words,Medium,Look up onomatopoeia. It describes the noises they what?,depict,y
32,Word Hunt,Interesting Words,Hard,Look up paradox. A paradox is a statement that does what to itself?,contradicts,y
33,Dictionary Skills,Pronunciation,Medium,Look up mischievous and read the pronunciation. How many syllables does it have?,3,y
34,Dictionary Skills,Pronunciation,Medium,Look up Wednesday and read the pronunciation. Which letter is silent in the first syllable?,d,y
35,Dictionary Skills,Pronunciation,Hard,Look up February and read the pronunciation. What consonant sound comes after “Feb”?,r,y
36,Word Hunt,Land & Earth,Easy,Look up archipelago. What is it a group of?,islands,y
37,Word Hunt,Land & Earth,Easy,Look up peninsula. What surrounds most of a peninsula?,water,y
38,Word Hunt,Geography Words,Easy,Look up hemisphere. A hemisphere is one of the halves of what?,Earth,y
39,Dictionary Skills,Pronunciation,Easy,Look up debt and read the pronunciation. Which letter is silent?,b,y
40,Dictionary Skills,Pronunciation,Hard,Look up colonel and read the pronunciation. How many syllables does it have?,2,y
41,Dictionary Skills,Pronunciation,Hard,Look up choir and read the pronunciation. What two consonant sounds does choir begin with?,kw,y
42,Presidents,President Number,Easy,Find George Washington in the Presidents section. What number president was he?,1,y
43,Presidents,President Number,Easy,Find Abraham Lincoln in the Presidents section. What number president was he?,16,y
44,Presidents,President Number,Easy,Find Theodore Roosevelt in the Presidents section. What number president was he?,26,y
45,Presidents,Birthplace,Medium,Find George Washington in the Presidents section. In what state was he born?,Virginia,y
46,Presidents,Birthplace,Medium,Find Abraham Lincoln in the Presidents section. In what state was he born?,Kentucky,y
47,Presidents,Birthplace,Medium,Find Theodore Roosevelt in the Presidents section. In what state was he born?,New York,y
48,Presidents,President Facts,Medium,Find Franklin D. Roosevelt in the Presidents section. What disease did he contract in 1921?,polio,y
49,Presidents,President Facts,Medium,Find Abraham Lincoln in the Presidents section. Who did the Emancipation Proclamation free?,slaves,y
50,Presidents,President Facts,Medium,"Find Ronald Reagan in the U.S. Presidents section. Before becoming president, he appeared in more than how many movies?",50,y
51,Civics,Constitution,Hard,"Go to The Constitution section. After the original Constitution, find the added Articles. Find Article XIII (13). What did it abolish?",slavery,y
52,Civics,Constitution,Medium,"Go to The Constitution section. After the original Constitution, find the added Articles. Find Article XIV (14). People born or naturalized in the United States are what?",citizens,y
53,Civics,Constitution,Medium,"Go to The Constitution section. After the original Constitution, find the added Articles. Find Article XIX (19). Whose right to vote does it protect regardless of sex?",women,y
54,Civics,Constitution,Hard,"Go to The Constitution section. After the original Constitution, find the added Articles. Find Article XXVI (26). What voting age does it establish?",18,y
55,Civics,Constitution,Medium,"Go to The Constitution section. After the original Constitution, find the added Articles. Find Article I (1). What freedom beginning with S does it protect?",speech,y
56,Civics,Constitution,Medium,"Go to The Constitution section. After the original Constitution, find the added Articles. Find Article II (2). What does it say people have the right to keep and bear?",arms,y
57,Constitution,Constitution,Easy,Find the U.S. Constitution. What are its first three words?,We the People,y
58,Constitution,Constitution,Easy,Find the U.S. Constitution. In what year was it adopted?,1787,y
59,Reference,The Fifty United States,Easy,Go to The Fifty United States section and find Minnesota. What is Minnesota's state flower?,Lady Slipper,y
60,Reference,The Fifty United States,Easy,Find Florida in the states section. What is its capital?,Tallahassee,y
61,Reference,The Fifty United States,Easy,Find North Dakota in the states section. What is its capital?,Bismarck,y
62,Declaration,Declaration Hunt,Easy,Find the Declaration of Independence. In what year was it adopted?,1776,y
63,Declaration,Declaration Hunt,Easy,Find the Declaration of Independence. In what month was it adopted?,July,y
64,Declaration,Declaration Hunt,Easy,"Find the Declaration of Independence. What word comes after “Life, Liberty and the pursuit of”?",Happiness,y
65,Declaration,Declaration Hunt,Easy,Find the Declaration of Independence. All men are created what?,equal,y
66,Declaration,Declaration Hunt,Medium,Find the Declaration of Independence. How many colonies declared independence?,13,y
67,Reference,Star Spangled Banner,Medium,Go to the Star Spangled Banner section. How many hours did the British bombardment last?,25,y
68,Countries,Capitals,Easy,Find Brazil in Countries of the World. What is its capital?,Brasília,y
69,Countries,Capitals,Hard,"Go to Facts About Countries & Locations. Find Congo, Democratic Republic of the (DR Congo). What is its capital?",Kinshasa,y
70,Countries,Capitals,Easy,Find Canada in Countries of the World. What is its capital?,Ottawa,y
71,Countries,Capitals,Easy,Find France in Countries of the World. What is its capital?,Paris,y
72,Countries,Capitals,Medium,Find Egypt in Countries of the World. What is its capital?,Cairo,y
73,Countries,Capitals,Hard,Go to Facts About Countries & Locations. Find Somalia. What is its capital?,Mogadishu,y
74,Countries,Capitals,Easy,Find Italy in Countries of the World. What is its capital?,Rome,y
75,Countries,Capitals,Easy,Find Mexico in Countries of the World. What is its capital?,Mexico City,y
76,Countries,Capitals,Medium,Find Argentina in Countries of the World. What is its capital?,Buenos Aires,y
77,Periodic Table,Symbol to Element,Easy,Find Au on the Periodic Table of the Elements. What element is it?,gold,y
78,Periodic Table,Symbol to Element,Easy,Find Fe on the Periodic Table of the Elements. What element is it?,iron,y
79,Periodic Table,Symbol to Element,Easy,Find Ag on the Periodic Table of the Elements. What element is it?,silver,y
80,Reference,The United States Flag,Easy,Go to The United States Flag section. Who is credited with sewing the first American flag?,Betsy Ross,y
81,Reference,The United States Flag,Medium,Go to The United States Flag section. How many times has the flag changed since 1777?,26,y
82,Reference,Roman Numerals,Easy,Go to the Roman Numerals section. What number is XI?,11,y
83,Reference,Roman Numerals,Hard,Go to the Roman Numerals section. What number is DC?,600,y
84,Reference,The World,Medium,Go to The World section and find Antarctica. How many indigenous inhabitants does Antarctica have?,0,y
85,Reference,Planets,Easy,Find the planets section. Which planet has the largest diameter?,Jupiter,y
86,Reference,Planets,Easy,Find the planets section. Which planet is closest to the Sun?,Mercury,y
87,Reference,Planets,Medium,Find the planets section. Which planet is called the Red Planet?,Mars,y
88,Reference,Words for Large Numbers,Hard,Go to the Words for Large Numbers section. How many zeros are in one quadrillion?,15,y
89,Reference,Big Words,Hard,Look in the Big Words section. Pneumonoultramicroscopicsilicovolcanoconiosis is a disease of what?,lungs,y
90,Reference,The Longest Word,Hard,Go to The Longest Word section. How many letters are in the longest word in English?,"1,909",y
91,Reference,Measurements,Easy,Find the weights and measures section. How many inches are in a foot?,12,y
92,Reference,Measurements,Easy,Find the weights and measures section. How many feet are in a yard?,3,y
93,Reference,Measurements,Hard,Find the weights and measures section. How many quarts are in a gallon?,4,y
94,Reference,Sign Language,Easy,Go to the Sign Language section. Which letter is signed by holding up your index finger like you're making a number one?,D,y
95,Reference,Sign Language,Hard,Go to the Sign Language section. Which letter is signed by making a fist with your thumb pointing up?,A,y
96,Reference,Sign Language,Hard,Go to the Sign Language section. Which letter is signed by crossing your middle finger over your index finger?,R,y
97,Reference,Braille,Medium,Go to the Braille section. How many dots can a Braille cell have?,6,y
98,Reference,Braille,Medium,Go to the Braille section. Which letter is represented by just one raised dot?,A,y
99,Reference,Clouds,Hard,Go to the Clouds section. What is a cloud at ground or sea level called? ,fog,y
